rating,review
5 stars: Excellent,Amazing service
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is so far the best among the others application. <br>It gives u simple option of recharging and calling wherever you want.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very nice app for international calling. Would recomend more people use the app.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                I already subscribed £10 for a month and when i tried to call it’s says i have no credit, i kept calling and also searching online why i need to pay another credit. They don’t give that much clarification why i need to pay credit. My friend recommended this app to me but i regret it that I install this app. Anyway i paid another £5 of credit.<br>I thought that’s it i have my unlimited call for 1 month. But NOO!!! Not even half an hour talking to my family in other country it ended up my call and saying i need top up again cause i have no credit!  Nothing worse than this.  I removed my card details i dont want to continue. My £15 didn’t last that long. Im sorry but i wasn’t happy.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Great Application. Fair prices.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It’s affordable to us i knew we have messenger and other wifi that we use on social media which is free but still i will use it please stay on ur affordable price and unlimited calls😃😊 please and if u can offer both smart &amp; globe calling yo Philippines please 😀😀🙏🏼🙏🏼🙏🏼😂👍🏻🥰
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Best service, compare to none.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                User friendly, can manage calls directly from the smartphone and using the credit card for topping up
            </p>"
5 stars: Excellent,It's very good app
5 stars: Excellent,"<p class=""review-content__text"">
                It took the stress away compared to dealing with other apps
            </p>"
5 stars: Excellent,It's fast and easy..
5 stars: Excellent,"<p class=""review-content__text"">
                For me, the best way to connect with your lover person. Thanks REBTEL
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                They never ever contact me back, ever!!!, there is no phone numbers to call ether so all you can do is send an email and hope for the best, I have send them 3 email already and nothing, the offers for recharging to Cuba never get to my family in Cuba, and like I said I have contacted Rebtel about it  and nothing.
            </p>"
5 stars: Excellent,Very fast in delivery and cheap pricing
5 stars: Excellent,"<p class=""review-content__text"">
                At first I thought it doesn't work , when I tried it I called my home Country Zimbabwe for 10 minutes for £1 , I like Rebtel and I shall continue using it
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Customer service was awesome and quick when I had a doubt and contacted them. The service is amazing
            </p>"
